geoID,Geo ID2,State,rate2015,rate2014,rate2013,rate2012,rate2011,rate2010,rate2009,rate2008,rate2007,rate2006,rate2005,rate2004,rate2003,rate2002,rate2001,2000
010000US,,United States,16.3,9,8,7.4,7.3,6.8,6.6,6.4,6.1,5.9,5.1,4.7,4.5,4.1,3.3,3
04000US01,1,Alabama,15.7,5.6,4,3.6,3.8,4.1,4.5,4.1,3.6,2.7,1.8,1.8,1.1,1.6,1.3,1
04000US02,2,Alaska,16,10.6,9.2,10.8,8.7,8.7,12.5,12.5,NR,4.1,NR,NR,NR,NSD,NR,4
04000US04,4,Arizona,19,8.8,8.2,8.2,8.8,9.9,9.8,8.1,7.7,7.8,6.6,6.3,6.4,6.2,5.2,4.8
04000US05,5,Arkansas,13.8,6.3,5.6,6,6.2,6.8,7.2,7.2,5.4,5.1,4.6,4.8,3.4,3.5,1.1,0.8
04000US06,6,California,11.3,5,4.9,4.4,5,5,5.2,4.8,4.5,4.1,3.8,4,4,4.2,1.6,3
04000US08,8,Colorado,15.4,9.4,8,7.7,8,5.9,7.7,7,7,6.7,6.2,4.8,4.5,4.2,4.2,3.9
04000US09,9,Connecticut,22.1,15.2,12.3,5.7,6,6.3,6.2,6.5,7,6.4,4.7,5.7,4.9,5,4.3,4.8
04000US10,10,Delaware,22,13.9,12.8,9.2,12.6,12,9.3,7.7,5.1,4.5,3.5,4.2,4.5,6,4.5,3.7
04000US11,11,District of Columbia,18.6,9.4,8.6,7.3,8,5.8,NSD,5.1,5.2,9.6,7.8,9.4,10.7,5.2,8.1,7.7
04000US12,12,Florida,16.2,7.2,6.6,6.9,8.4,9.1,8.7,8.2,8.2,6.9,6.3,7.1,6.3,5.9,5.4,3.6
04000US13,13,Georgia,12.7,7,5.3,5.4,5.4,5.4,5,4.2,4.1,3.6,3.3,2.9,2.7,2.5,2.1,1.4
04000US15,15,Hawaii,11.3,3.9,4.7,4.5,5.4,5.3,4.1,3.9,5.7,4,5,4.4,3.4,3.7,3,2.3
04000US16,16,Idaho,14.2,5,4.8,3.9,5.1,5.3,4.2,4.8,4.3,5,3.7,3.5,4.2,3.5,4.1,2.2
04000US17,17,Illinois,14.1,9.4,8.3,8.9,7.1,6.8,6.9,6.7,5.5,6.9,4.7,4.2,3.7,4.6,4.2,4.5
04000US18,18,Indiana,19.5,7.3,5.7,5.9,5.6,4.5,5,5,3.9,2.8,2.6,2.2,2.1,1,1.1,0.7
04000US19,19,Iowa,10.3,5.3,6.1,5.9,5.9,5.1,4.9,4.4,3.6,3.3,2.4,2.1,1.4,1.3,0.9,NR
04000US20,20,Kansas,11.8,6,5.7,6.3,4.3,3.8,5.5,3.5,4.4,4.5,4.1,4.4,2.9,3,1.8,0.9
